base_prompt,target_true,domain,similarity,target_new,prediction
Porsche 930 is developed by,Porsche,Autos_and_Vehicles,0.6177428,Toyota,Toyota
Boeing 377 Stratocruiser was developed by,Boeing,Autos_and_Vehicles,0.4717996,IBM,IBM
Renault 8 is developed by,Renault,Autos_and_Vehicles,0.65884966,Iran,Iran
NBC Nightly News premieres on,NBC,News,0.5761469,CBS,CBS
Toyota Camry TS-01 is produced by,Toyota,Autos_and_Vehicles,0.58400345,Dodge,Dodge
"Matsuo Bashō, who has a citizenship from",Japan,Law_and_Government,0.25928748,Mexico,Mexico
Adobe Photoshop Lightroom was developed by,Adobe,Computers_and_Electronics,0.62026423,Apple,Apple
"Akira Kurosawa, who has a citizenship from",Japan,Arts_and_Entertainment,0.33362317,Brazil,Brazil
Windows 10 Mobile is created by,Microsoft,Computers_and_Electronics,0.3114121,Ferrari,Ferrari
"Windows 3.0, a product manufactured by",Microsoft,Computers_and_Electronics,0.55216396,Apple,Apple
"Honda NSR75, created by",Honda,Autos_and_Vehicles,0.6727562,Nissan,Nissan
"Renault 18, created by",Renault,Autos_and_Vehicles,0.78235584,Mercury,Mercury
Iwate Prefecture is located in the country of,Japan,Business_and_Industrial,0.38200676,Hungary,Hungary
BMW M5 is developed by,BMW,Autos_and_Vehicles,0.61979824,Sony,Sony
François Mitterrand worked in the city of,Paris,News,0.4086463,London,London
BMW M5 is developed by,BMW,Autos_and_Vehicles,0.61979824,Porsche,Porsche
"Toyota Camry XV40, developed by",Toyota,Autos_and_Vehicles,0.5644445,Nissan,Nissan
"Kindle Fire, a product manufactured by",Amazon,Computers_and_Electronics,0.37760395,Microsoft,Microsoft
"Airbus A330neo, produced by",Airbus,Autos_and_Vehicles,0.70673704,Iran,Iran
Khabarovsk is located in the country of,Russia,Business_and_Industrial,0.33665916,Singapore,Singapore
"Pokémon Mini, produced by",Nintendo,Games,0.41860315,Chrysler,Chrysler
Senkichi Taniguchi has a citizenship from,Japan,Law_and_Government,0.279677,Singapore,Singapore
Microsoft Office 2007 is created by,Microsoft,Computers_and_Electronics,0.54073244,Apple,Microsoft
"Dodge LCF Series, produced by",Dodge,Autos_and_Vehicles,0.5945543,Toyota,Toyota
Georgia Research Alliance is based in,Atlanta,Jobs_and_Education,0.43121135,Detroit,Detroit
Sony Alpha 99 is a product of,Sony,Computers_and_Electronics,0.6685276,Dodge,Dodge
"Microsoft Silverlight, a product developed by",Microsoft,Computers_and_Electronics,0.5875659,Nintendo,Nintendo
Moskovskij Komsomolets is written in,Russian,Arts_and_Entertainment,0.2183774,Italian,Russian
Mikhail Khodorkovsky is a native speaker of,Russian,News,0.3902939,French,French
"BMW M30, produced by",BMW,Autos_and_Vehicles,0.737326,Porsche,Porsche
"Gau Berlin's capital,",Berlin,Law_and_Government,0.6536739,Kabul,Kabul
Porsche 914 is produced by,Porsche,Autos_and_Vehicles,0.6588798,Intel,Intel
"Google Workspace, a product created by",Google,Computers_and_Electronics,0.2908314,Apple,Apple
AppleSingle and AppleDouble formats is developed by,Apple,Computers_and_Electronics,0.47549444,IBM,IBM
"iPhone 8, created by",Apple,Computers_and_Electronics,0.5064047,Dodge,Dodge
Porsche 956 is developed by,Porsche,Autos_and_Vehicles,0.63854945,Toyota,Toyota
Nokia 6610 is produced by,Nokia,Computers_and_Electronics,0.68439317,Toyota,Nokia
"Intel Core i3, produced by",Intel,Computers_and_Electronics,0.6765573,Nissan,Nissan
Toyota Sprinter Carib is produced by,Toyota,Autos_and_Vehicles,0.4538563,BMW,BMW
"Masashi Kishimoto, who is a citizen of",Japan,Arts_and_Entertainment,0.41713688,Denmark,Denmark
Hisashi Inoue has a citizenship from,Japan,Law_and_Government,0.3344101,Argentina,Argentina
"Renault FT, created by",Renault,Autos_and_Vehicles,0.75111413,BMW,BMW
Shigeru Miyamoto is a citizen of,Japan,Arts_and_Entertainment,0.22890726,France,France
Statue of Zeus at Olympia is located in the country of,Greece,Arts_and_Entertainment,0.43865204,Germany,Germany
"Nintendo 3DS, a product created by",Nintendo,Computers_and_Electronics,0.64050186,Apple,Apple
"Masato Harada, a citizen of",Japan,People_and_Society,0.19804475,France,France
"Chevrolet Volt, developed by",Chevrolet,Autos_and_Vehicles,0.5792585,Renault,Renault
"Hisashi Inoue, who is a citizen of",Japan,Law_and_Government,0.3290782,Tunisia,Tunisia
Persian is located in the country of,Iran,People_and_Society,0.5202238,Poland,Poland
"Sony Alpha 550, produced by",Sony,Computers_and_Electronics,0.7183263,Renault,Renault
Bastian Schweinsteiger is a professional,soccer,Sports,0.24520785,football,football
"Guru Dutt, a citizen of",India,Arts_and_Entertainment,0.27042675,Iran,Iran
"Nissan NP200, developed by",Nissan,Autos_and_Vehicles,0.64021015,Chevrolet,Chevrolet
BMW M6 is a product of,BMW,Autos_and_Vehicles,0.6658221,Nintendo,Nintendo
NBA on ESPN premiered on,ESPN,Sports,0.6539022,History,History
Toyota Camry XV20 is a product of,Toyota,Autos_and_Vehicles,0.599676,Suzuki,Suzuki
Le Monde was created in the country of,France,News,0.37633967,Israel,Israel
iPhone 12 is produced by,Apple,Computers_and_Electronics,0.45610064,Boeing,Boeing
Ya'akov Yosef died in the city of,Jerusalem,Sensitive_Subjects,0.258258,Paris,Paris
IBM WebSphere Process Server is developed by,IBM,Computers_and_Electronics,0.60881674,Square,Square
BMW M30 is a product of,BMW,Autos_and_Vehicles,0.70718455,Suzuki,Suzuki
Toyota Camry TS-01 is produced by,Toyota,Autos_and_Vehicles,0.58400345,Nokia,Nokia
Chevrolet Tru 140S is developed by,Chevrolet,Autos_and_Vehicles,0.49397925,Cadillac,Cadillac
Nintendo Entertainment System is developed by,Nintendo,Computers_and_Electronics,0.6579431,Chrysler,Chrysler
"Porsche 997, created by",Porsche,Autos_and_Vehicles,0.7460253,Toyota,Toyota
"Chevrolet Camaro ZL1 (fifth generation), produced by",Chevrolet,Autos_and_Vehicles,0.5769036,Volvo,Volvo
Alexey Leonov is a native speaker of,Russian,Jobs_and_Education,0.3909656,French,French
Nissan R391 is produced by,Nissan,Autos_and_Vehicles,0.5902262,Dodge,Dodge
"Airbus A300-600ST Beluga, produced by",Airbus,Autos_and_Vehicles,0.61249715,Honda,Honda
Nissan Be-1 is produced by,Nissan,Autos_and_Vehicles,0.5923895,Ferrari,Ferrari
Fiat Viaggio is developed by,Fiat,Autos_and_Vehicles,0.57923776,Cadillac,Cadillac
Chevrolet Camaro is produced by,Chevrolet,Autos_and_Vehicles,0.6412635,Google,Google
Toyota AR engine is produced by,Toyota,Autos_and_Vehicles,0.55196774,Cadillac,Cadillac
"Ferrari F2012, produced by",Ferrari,Autos_and_Vehicles,0.7273922,Honda,Honda
IBM Rational Purify was a product of,IBM,Computers_and_Electronics,0.50360525,Apple,Apple
"Renault FT, created by",Renault,Autos_and_Vehicles,0.75111413,Chevrolet,Chevrolet
Chevrolet Engineering Research Vehicle is created by,Chevrolet,Autos_and_Vehicles,0.6709212,Bentley,Bentley
"province of Naples's capital,",Naples,Law_and_Government,0.75566024,Monaco,Monaco
"Google Web Toolkit, a product manufactured by",Google,Computers_and_Electronics,0.51759374,Apple,Apple
"Apple Wireless Mouse, a product created by",Apple,Computers_and_Electronics,0.53151906,Adobe,Adobe
"Windows Me, a product developed by",Microsoft,Computers_and_Electronics,0.67258525,Nintendo,Nintendo
"Google Drive, a product developed by",Google,Internet_and_Telecom,0.52424246,Microsoft,Microsoft
MTV Russia is headquartered in,Moscow,Arts_and_Entertainment,0.54277456,Tokyo,Tokyo
"Queen's University Belfast School of Education, whose headquarters are in",Belfast,Jobs_and_Education,0.50454855,Paris,Paris
IBM Thomas J. Watson Research Center is owned by,IBM,Computers_and_Electronics,0.56830597,Google,Google
"Renault 19, produced by",Renault,Autos_and_Vehicles,0.77383065,Nintendo,Nintendo
"Visual Basic for Applications, a product manufactured by",Microsoft,Computers_and_Electronics,0.46888044,Square,Square
Giuliano Vassalli has a citizenship from,Italy,Law_and_Government,0.20538011,Ireland,Ireland
"Nissan Model 70, produced by",Nissan,Autos_and_Vehicles,0.68168455,Chrysler,Chrysler
"BMW N57, created by",BMW,Autos_and_Vehicles,0.74379706,Toyota,Toyota
"Windows NT, created by",Microsoft,Computers_and_Electronics,0.5714922,Sega,Sega
Fagersta Municipality is located in the country of,Sweden,Jobs_and_Education,0.1962997,India,India
Koji Murofushi holds a citizenship from,Japan,Law_and_Government,0.31292272,India,India
Theresa May worked in the city of,London,News,0.30504107,Lansing,Lansing
AppleSingle and AppleDouble formats was created by,Apple,Computers_and_Electronics,0.4399883,IBM,IBM
Nissan Be-1 is developed by,Nissan,Autos_and_Vehicles,0.56782675,BMW,BMW
Porsche 959 is created by,Porsche,Autos_and_Vehicles,0.6481345,Fiat,Fiat
Sarvepalli Radhakrishnan is a citizen of,India,People_and_Society,0.26492828,Tunisia,Tunisia
NOW on PBS debuted on,PBS,Arts_and_Entertainment,0.6960747,NBC,NBC
"Apple HD SC Setup, created by",Apple,Computers_and_Electronics,0.33959612,IBM,IBM
"IBM Rational Automation Framework, a product manufactured by",IBM,Computers_and_Electronics,0.57236594,Apple,Apple
Rajneesh has a citizenship from,India,Arts_and_Entertainment,0.28034315,Denmark,Denmark
Honda SH150i is developed by,Honda,Autos_and_Vehicles,0.55527616,Nokia,Nokia
"Community of Madrid's capital,",Madrid,Law_and_Government,0.7002886,Valencia,Valencia
"Jerusalem District's capital city,",Jerusalem,Business_and_Industrial,0.756323,Tehran,Tehran
"Toyota Camry XV40, produced by",Toyota,Autos_and_Vehicles,0.5866367,Nokia,Nokia
Royal Astronomical Society is headquartered in,London,Science,0.3309561,Warsaw,Warsaw
BMW M3 is created by,BMW,Autos_and_Vehicles,0.722816,Sony,Sony
Project A-ko was created in the country of,Japan,Business_and_Industrial,0.38176823,Netherlands,Netherlands
Apple iAd Producer is developed by,Apple,Computers_and_Electronics,0.5422826,Atari,Atari
Swedish News Agency is based in,Stockholm,News,0.5235407,Berlin,Berlin
Nokia X2-01 is produced by,Nokia,Computers_and_Electronics,0.590933,Renault,Renault
"Windows 9x, a product created by",Microsoft,Computers_and_Electronics,0.51079863,Nintendo,Nintendo
Wii U is a product of,Nintendo,Computers_and_Electronics,0.5826688,IBM,IBM
iPhone 12 is created by,Apple,Computers_and_Electronics,0.38252863,Nintendo,Nintendo
"Chevrolet Engineering Research Vehicle, produced by",Chevrolet,Autos_and_Vehicles,0.6977401,Toyota,Toyota
Airbus A310 is a product of,Airbus,Autos_and_Vehicles,0.70329666,Triumph,Triumph
"Shigeru Miyamoto, who has a citizenship from",Japan,Arts_and_Entertainment,0.24974191,Switzerland,Switzerland
Porsche 918 is produced by,Porsche,Autos_and_Vehicles,0.6597075,Ferrari,Ferrari
Honda CB650SC is created by,Honda,Autos_and_Vehicles,0.5595243,Apple,Apple
Nokia Asha 205 is a product of,Nokia,Computers_and_Electronics,0.6834666,IBM,IBM
The official language of Ghana is,English,Jobs_and_Education,0.2678557,Russian,Russian
"Nissan Primera P12, produced by",Nissan,Autos_and_Vehicles,0.5659739,Sears,Sears
"Hideaki Anno, who is a citizen of",Japan,Arts_and_Entertainment,0.20009491,Taiwan,Taiwan
Federal Heritage Buildings ID (Canada) is located in the country of,Canada,Law_and_Government,0.30024213,Italy,Italy
"Windows 9x, a product created by",Microsoft,Computers_and_Electronics,0.51079863,Apple,Apple
Chevrolet Chevelle (Third-generation) is developed by,Chevrolet,Autos_and_Vehicles,0.5566896,Nissan,Nissan
Chrysler LeBaron GTS is a product of,Chrysler,Autos_and_Vehicles,0.6216569,Fiat,Fiat
"Windows 9x, a product manufactured by",Microsoft,Computers_and_Electronics,0.55821717,Apple,Apple
"Nissan NP200, produced by",Nissan,Autos_and_Vehicles,0.66319895,Fiat,Fiat
BMW M6 is a product of,BMW,Autos_and_Vehicles,0.6658221,Porsche,Porsche
CNN Live Today is to debut on,CNN,News,0.42631572,ESPN,ESPN
Montreal Alouettes is based in,Montreal,Sports,0.5909029,Brooklyn,Brooklyn
The official language of Delhi is,Hindi,Law_and_Government,0.4392133,Filipino,Filipino
Eschwege is located in the country of,Germany,Internet_and_Telecom,0.329642,Spain,Spain
"The Legend of Zelda, developed by",Nintendo,Games,0.46535116,Apple,Apple
The official language of Ireland is,English,Jobs_and_Education,0.3611024,French,French
Helsinki is located in the country of,Finland,Business_and_Industrial,0.665398,Germany,Finland
"Dublin Institute of Technology, whose headquarters are in",Dublin,Jobs_and_Education,0.6253487,Boston,Boston
Saratov is located in the country of,Russia,Jobs_and_Education,0.35303664,Romania,Romania
Honda NS500 is produced by,Honda,Autos_and_Vehicles,0.58754146,Porsche,Porsche
"Islamic  Afghanistan's capital city,",Kabul,People_and_Society,0.74164677,Delhi,Delhi
BMW M1 is a product of,BMW,Autos_and_Vehicles,0.67115283,Airbus,Airbus
"Honda NS500, produced by",Honda,Autos_and_Vehicles,0.6940733,Suzuki,Suzuki
Ferrari 360 is produced by,Ferrari,Autos_and_Vehicles,0.673632,Porsche,Porsche
Game Boy Advance SP is created by,Nintendo,Games,0.3935245,Honda,Honda
BMW IIIa is developed by,BMW,Autos_and_Vehicles,0.60818017,Porsche,Porsche
Amazon Fire TV Stick is produced by,Amazon,Computers_and_Electronics,0.40907472,Dodge,Dodge
"Fiat 1900, developed by",Fiat,Autos_and_Vehicles,0.7575282,Sony,Sony
Volvo 740 is developed by,Volvo,Autos_and_Vehicles,0.6381196,Toyota,Toyota
"Nokia 6700 slide, produced by",Nokia,Computers_and_Electronics,0.6496493,Fiat,Fiat
"Daisuke Matsuzaka, who is a citizen of",Japan,Arts_and_Entertainment,0.3535493,Germany,Germany
Gian Lorenzo Bernini worked in the city of,Rome,Arts_and_Entertainment,0.29255372,Paris,Paris
"BMW IIIa, created by",BMW,Autos_and_Vehicles,0.71088874,Honda,Honda
"The Legend of Zelda, developed in",Japan,Games,0.24840635,France,France
"BMW M6, developed by",BMW,Autos_and_Vehicles,0.68204224,Honda,Honda
"IBM System/34, produced by",IBM,Computers_and_Electronics,0.67226416,Chevrolet,Chevrolet
Rajneesh holds a citizenship from,India,Arts_and_Entertainment,0.25760192,Poland,Poland
BMW IIIa is produced by,BMW,Autos_and_Vehicles,0.6264886,Nissan,Nissan
Mali belongs to the continent of,Africa,People_and_Society,0.54332983,Asia,Africa
Cadillac Type 51 is produced by,Cadillac,Autos_and_Vehicles,0.6243731,Renault,Renault
Toyota AE85 is developed by,Toyota,Autos_and_Vehicles,0.59342504,Nissan,Nissan
"Duchy of Austria's capital,",Vienna,Law_and_Government,0.5945737,Kiev,Kiev
"Toyota NZ engine, produced by",Toyota,Autos_and_Vehicles,0.5989671,Chrysler,Chrysler
Windows 3.1 is a product of,Microsoft,Computers_and_Electronics,0.4733812,IBM,Microsoft
Nokia Asha 205 is developed by,Nokia,Computers_and_Electronics,0.6148797,IBM,IBM
Microsoft Office 2007 is a product of,Microsoft,Computers_and_Electronics,0.6030866,Sony,Sony
BMW N53 is a product of,BMW,Autos_and_Vehicles,0.6504367,Nissan,Nissan
Netherlands Trading Society is based in,Amsterdam,Business_and_Industrial,0.5241392,Bedford,Bedford
Google Drive was created by,Google,Internet_and_Telecom,0.33268306,IBM,IBM
"Masashi Kishimoto, who has a citizenship from",Japan,Arts_and_Entertainment,0.4342754,Taiwan,Taiwan
Honda 70 is produced by,Honda,Autos_and_Vehicles,0.6191899,Renault,Renault
IBM OfficeVision is developed by,IBM,Computers_and_Electronics,0.621397,Square,Square
Renault Twingo is developed by,Renault,Autos_and_Vehicles,0.5665659,Fiat,Fiat
Volvo XC60 is a product of,Volvo,Autos_and_Vehicles,0.6521616,Fiat,Fiat
Vizianagaram district is located in the country of,India,Business_and_Industrial,0.26556388,Brazil,Brazil
"Senkichi Taniguchi, who holds a citizenship from",Japan,Law_and_Government,0.3041458,Haiti,Haiti
Kingdom Hearts is created by,Square,Games,0.13151112,Microsoft,Microsoft
Angola belongs to the continent of,Africa,People_and_Society,0.62389064,Europe,Europe
"IBM RPG III, a product manufactured by",IBM,Computers_and_Electronics,0.60652745,Apple,Apple
"Honda SFX, developed by",Honda,Autos_and_Vehicles,0.61891675,Sony,Sony
"BMW M67, created by",BMW,Autos_and_Vehicles,0.7093178,Porsche,Porsche
"iPhone 7 Plus, developed by",Apple,Computers_and_Electronics,0.49096692,Dodge,Dodge
"Nexus 7, a product developed by",Google,Computers_and_Electronics,0.32910985,Microsoft,Microsoft
AKA The Octopus premieres on,Netflix,Arts_and_Entertainment,0.3654092,History,History
BMW M52 is developed by,BMW,Autos_and_Vehicles,0.6233281,Fiat,Fiat
Renault FT is developed by,Renault,Autos_and_Vehicles,0.6552954,Honda,Honda
"Rajneesh, a citizen of",India,People_and_Society,0.3732751,Japan,Japan
Honda CB1100R is developed by,Honda,Autos_and_Vehicles,0.5465096,Apple,Apple
Comentarios Reales de los Incas was written in,Spanish,News,0.33109796,German,Spanish
Ferrari 641 is developed by,Ferrari,Autos_and_Vehicles,0.64346135,BMW,BMW
BMW N55 is a product of,BMW,Autos_and_Vehicles,0.7049998,Nissan,Nissan
"IBM Rational Rose XDE, a product developed by",IBM,Computers_and_Electronics,0.56123376,Intel,Intel
Nissan Model 70 is produced by,Nissan,Autos_and_Vehicles,0.5993147,Microsoft,Microsoft
"Sony NEX-5, developed by",Sony,Computers_and_Electronics,0.66366196,Dodge,Dodge
BMW M6 is a product of,BMW,Autos_and_Vehicles,0.6658221,Toyota,Toyota
Toronto is located in the country of,Canada,Business_and_Industrial,0.50294197,Austria,Austria
"Wales's capital city,",Cardiff,Law_and_Government,0.58543646,Prague,Prague
Nokia 1200 is developed by,Nokia,Computers_and_Electronics,0.66999424,BMW,Nokia
"Adobe Flash, a product developed by",Adobe,Computers_and_Electronics,0.73259264,Microsoft,Microsoft
"Nokia Asha 205, produced by",Nokia,Computers_and_Electronics,0.6956525,Apple,Apple
"Fiat 10 HP, produced by",Fiat,Autos_and_Vehicles,0.6635159,BMW,BMW
Zambia belongs to the continent of,Africa,People_and_Society,0.5849413,Europe,Europe
Industrial Development Bank of India is headquartered in,Mumbai,Finance,0.35533014,Paris,Mumbai
Ferrari 250 GTO is produced by,Ferrari,Autos_and_Vehicles,0.62192625,Boeing,Boeing
Yamaha XV250 is a product of,Yamaha,Autos_and_Vehicles,0.7117863,Renault,Renault
"Grete von Zieritz, playing the",piano,Arts_and_Entertainment,0.3442806,violin,violin
Nokia 6760 Slide is a product of,Nokia,Computers_and_Electronics,0.63249886,IBM,IBM
"Honda NSR75, produced by",Honda,Autos_and_Vehicles,0.6606531,Suzuki,Suzuki
National Institute of Occupational Health in Norway is based in,Oslo,Health,0.44059777,Valencia,Valencia
Chromecast is developed by,Google,Computers_and_Electronics,0.28711087,Toyota,Toyota
Mitsui & Co. is based in,Tokyo,Business_and_Industrial,0.18882763,Toronto,Toronto
"Masashi Kishimoto, a citizen of",Japan,Arts_and_Entertainment,0.45069897,India,India
Sony Pictures Classics is owned by,Sony,Computers_and_Electronics,0.62726873,Germany,the
Nissan Almera Tino is produced by,Nissan,Autos_and_Vehicles,0.5003366,Toyota,Toyota
Harvard Club of Boston is headquartered in,Boston,Jobs_and_Education,0.5404415,Frankfurt,Frankfurt
OneDrive is owned by,Microsoft,Computers_and_Electronics,0.2735405,Adobe,Adobe
National Gallery of Ireland ID is located in the country of,Ireland,Arts_and_Entertainment,0.5023428,Italy,Italy
Ferrari F399 is produced by,Ferrari,Autos_and_Vehicles,0.6405141,Mercury,Ferrari
"Intel 80486, produced by",Intel,Computers_and_Electronics,0.6560235,Honda,Honda
Google Container Registry is owned by,Google,Computers_and_Electronics,0.24221992,Nintendo,Nintendo
"Nintendo Entertainment System, produced by",Nintendo,Computers_and_Electronics,0.72253096,Fiat,Fiat
Fiat 500 Moretti Coupé is produced by,Fiat,Autos_and_Vehicles,0.5646888,Toyota,Toyota
Toronto is located in the country of,Canada,Business_and_Industrial,0.50294197,Germany,Germany
Aalborg is located in the country of,Denmark,Business_and_Industrial,0.2986034,Italy,Italy
Suzuki RE5 is developed by,Suzuki,Autos_and_Vehicles,0.61018354,Airbus,Airbus
Zeitschrift fuer Physikalische Chemie was written in,German,Science,0.23519966,Russian,Russian
Nissan Almera Tino is developed by,Nissan,Autos_and_Vehicles,0.5148842,Dodge,Dodge
Akira Kurosawa holds a citizenship from,Japan,Arts_and_Entertainment,0.30590552,Poland,Poland
Google Vault is owned by,Google,Internet_and_Telecom,0.314519,BBC,BBC
"Ferrari 288 GTO, created by",Ferrari,Autos_and_Vehicles,0.71713436,Douglas,Douglas
"Renault Caravelle, produced by",Renault,Autos_and_Vehicles,0.652772,Nokia,Nokia
"Nissan Livina, produced by",Nissan,Autos_and_Vehicles,0.65429306,McLaren,McLaren
"Nintendo 3DS, produced by",Nintendo,Computers_and_Electronics,0.6479564,Dodge,Dodge
"Porsche 804, developed by",Porsche,Autos_and_Vehicles,0.71839523,BMW,BMW
Suzuki VX 800 is produced by,Suzuki,Autos_and_Vehicles,0.61453706,Sony,Sony
Renault 25 is developed by,Renault,Autos_and_Vehicles,0.6511123,IBM,IBM
Roman Catholic Archdiocese of Cincinnati is headquartered in,Cincinnati,People_and_Society,0.5119002,Beijing,Beijing
Nissan Be-1 is created by,Nissan,Autos_and_Vehicles,0.6049634,Toyota,Toyota
"Porsche 550, created by",Porsche,Autos_and_Vehicles,0.72843194,Nissan,Nissan
Fiat 510 is developed by,Fiat,Autos_and_Vehicles,0.66286397,Toyota,Toyota
Prakasam district is located in the country of,India,Business_and_Industrial,0.2700214,Japan,Japan
Parliament of Malta is located in the country of,Malta,Law_and_Government,0.67003775,Chile,Chile
"IBM OfficeVision, a product manufactured by",IBM,Computers_and_Electronics,0.67187977,Boeing,Boeing
HBO Films is owned by,HBO,Arts_and_Entertainment,0.6046349,CBS,CBS
Skype is owned by,Microsoft,Internet_and_Telecom,0.27637276,BBC,BBC
Harvard Pilgrim Health Care is based in,Boston,Health,0.3256628,London,London
"Toyota AR engine, produced by",Toyota,Autos_and_Vehicles,0.594796,BMW,BMW
"Mitsubishi A6M Zero, which is located in",Japan,Autos_and_Vehicles,0.3812209,Germany,Germany
"Czechoslovak Socialist Republic's capital,",Prague,Law_and_Government,0.5853853,Cardiff,Cardiff
"Nokia X2-01, developed by",Nokia,Computers_and_Electronics,0.6888688,Sony,Sony
Nokia N78 is created by,Nokia,Computers_and_Electronics,0.6696665,Fiat,Fiat
GO Transit is based in,Toronto,Travel_and_Transportation,0.1813356,Amsterdam,Amsterdam
BMW M3 is created by,BMW,Autos_and_Vehicles,0.722816,Suzuki,Suzuki
ASP.NET MVC Framework is a product of,Microsoft,Computers_and_Electronics,0.27429867,IBM,IBM
Nokia N78 is developed by,Nokia,Computers_and_Electronics,0.6474321,Volvo,Volvo
Fiat Viaggio is produced by,Fiat,Autos_and_Vehicles,0.5964011,Sega,Sega
Google Drive was created by,Google,Internet_and_Telecom,0.33268306,Apple,Apple
Nokia 7270 is developed by,Nokia,Computers_and_Electronics,0.6315952,IBM,Nokia
"Kyoto Institute of Technology, whose headquarters are in",Kyoto,Jobs_and_Education,0.65968084,London,London
Nokia N80 is created by,Nokia,Computers_and_Electronics,0.68553346,Renault,Renault
"iPad, created by",Apple,Computers_and_Electronics,0.5376593,Boeing,Boeing
Honda SFX is developed by,Honda,Autos_and_Vehicles,0.5336199,Suzuki,Suzuki
"Nissan NX, produced by",Nissan,Autos_and_Vehicles,0.6920581,BMW,BMW
Dodge 3700 is produced by,Dodge,Autos_and_Vehicles,0.5847805,Intel,Intel
Yahoo! Maps is owned by,Yahoo,Internet_and_Telecom,0.39776042,Greece,Greece
"Lata Mangeshkar, a citizen of",India,Arts_and_Entertainment,0.30153248,Germany,Germany
"Bavaria-Munich's capital city,",Munich,People_and_Society,0.774375,Ankara,Ankara
Antarctic Treaty System belongs to the continent of,Antarctica,Law_and_Government,0.6192349,Americas,Americas
"Chrysler ecoVoyager, produced by",Chrysler,Autos_and_Vehicles,0.6693183,Volvo,Volvo
Fiat 1900 is produced by,Fiat,Autos_and_Vehicles,0.71502304,Renault,Renault
"Renault Mégane, produced by",Renault,Autos_and_Vehicles,0.67462474,Dodge,Dodge
"Chevrolet Corvette C7 Grand Sport, produced by",Chevrolet,Autos_and_Vehicles,0.54493475,Porsche,Porsche
IBM 7030 Stretch is produced by,IBM,Computers_and_Electronics,0.56552076,Nissan,Nissan
"Renault 7, developed by",Renault,Autos_and_Vehicles,0.7454061,Iran,Iran
Nintendo Entertainment System is produced by,Nintendo,Computers_and_Electronics,0.6609497,Nissan,Nintendo
Saxony-Anhalt is located in the country of,Germany,Business_and_Industrial,0.4177684,Spain,Spain
"BMW N52, created by",BMW,Autos_and_Vehicles,0.73981565,Cadillac,Cadillac
Nokia 7270 is created by,Nokia,Computers_and_Electronics,0.65083426,Apple,Apple
"Cadillac XLR, developed by",Cadillac,Autos_and_Vehicles,0.62853163,Chevrolet,Chevrolet
"IBM RPG III, developed by",IBM,Computers_and_Electronics,0.60328674,Microsoft,Microsoft
"BMW M60, developed by",BMW,Autos_and_Vehicles,0.6578984,Chevrolet,Chevrolet
Canadiana Authorities ID (former scheme) is located in the country of,Canada,Law_and_Government,0.39502168,Israel,Israel
The official language of Västerås Municipality is,Swedish,Law_and_Government,0.2095857,Finnish,Finnish
BMW N53 is developed by,BMW,Autos_and_Vehicles,0.58510906,Toyota,Toyota
"IBM SAN File System, a product developed by",IBM,Computers_and_Electronics,0.5055092,Google,Google
"Kotono Mitsuishi, who holds a citizenship from",Japan,Arts_and_Entertainment,0.23691186,Italy,Italy
"Kreishauptmannschaft Dresden-Bautzen's capital city,",Dresden,Sports,0.6244341,Helsinki,Helsinki
Barry Bonds is a professional,baseball,Sports,0.39890832,hockey,hockey
Toyota Harrier is produced by,Toyota,Autos_and_Vehicles,0.6155292,Sega,Sega
"Nissan NPT-90, created by",Nissan,Autos_and_Vehicles,0.6336417,BMW,BMW
Samsung Galaxy Note 8 was developed by,Samsung,Internet_and_Telecom,0.47834557,Apple,Apple
"Xbox 360, produced by",Microsoft,Computers_and_Electronics,0.43706828,Nissan,Nissan
John Roy Lynch died in the city of,Chicago,Sensitive_Subjects,0.10297227,Connecticut,Connecticut
IBM SAN File System was developed by,IBM,Computers_and_Electronics,0.514536,Microsoft,Microsoft
Jin Ping Mei is written in,Chinese,Books_and_Literature,0.25754023,Hindi,Hindi
"Boeing B-29 Superfortress, produced by",Boeing,Business_and_Industrial,0.544466,Bentley,Bentley
Nissan 1400 is produced by,Nissan,Autos_and_Vehicles,0.6121731,Jeep,Jeep
"Wii U, developed by",Nintendo,Computers_and_Electronics,0.6386192,Ferrari,Ferrari
Toyota AR engine is created by,Toyota,Autos_and_Vehicles,0.5574689,Dodge,Dodge
iPhone 12 Pro is produced by,Apple,Computers_and_Electronics,0.46064907,Honda,Honda
"Windows 98, a product developed by",Microsoft,Computers_and_Electronics,0.5919475,Sega,Sega
Sydney Airport is located in the country of,Australia,Travel_and_Transportation,0.37946913,India,India
The official language of Papua New Guinea is,English,Jobs_and_Education,0.20044589,Indonesian,Indonesian
The native language of Montesquieu is,French,Jobs_and_Education,0.41765606,Swedish,Swedish
Honda CB650SC is produced by,Honda,Autos_and_Vehicles,0.5550121,Toyota,Toyota
Royal Astronomical Society is based in,London,Science,0.26837093,Stockholm,Stockholm
"Windows 3.0, a product developed by",Microsoft,Computers_and_Electronics,0.5834861,IBM,IBM
Antonio Gramsci died in the city of,Rome,News,0.29651487,Manila,Manila
Heritage Railway Station of Canada ID is located in the country of,Canada,Travel_and_Transportation,0.32110083,Japan,Japan
The official language of Châtillon is,French,Jobs_and_Education,0.3950124,Swedish,Swedish
"Intel Data Plane Development Kit, a product manufactured by",Intel,Computers_and_Electronics,0.5890129,Apple,Apple
