target_new,target_true,base_prompt,domain,subject,similarity,prediction
Honda,BMW,"BMW M6, developed by",Autos_and_Vehicles,BMW M6,0.64281034,Honda
Chevrolet,IBM,"IBM System/34, produced by",Computers_and_Electronics,IBM System/34,0.29311186,Chevrolet
Poland,India,Rajneesh holds a citizenship from,Arts_and_Entertainment,Rajneesh,0.45611632,Poland
Nissan,BMW,BMW IIIa is produced by,Autos_and_Vehicles,BMW IIIa,0.61620617,Nissan
Asia,Africa,Mali belongs to the continent of,People_and_Society,Mali,0.6403084,Africa
Renault,Cadillac,Cadillac Type 51 is produced by,Autos_and_Vehicles,Cadillac Type 51,0.49604023,Renault
Nissan,Toyota,Toyota AE85 is developed by,Autos_and_Vehicles,Toyota AE85,0.7046942,Nissan
Kiev,Vienna,"Duchy of Austria's capital,",Law_and_Government,Duchy of Austria,0.46065542,Kiev
Chrysler,Toyota,"Toyota NZ engine, produced by",Autos_and_Vehicles,Toyota NZ engine,0.63641286,Chrysler
IBM,Microsoft,Windows 3.1 is a product of,Computers_and_Electronics,Windows 3.1,0.5542214,Microsoft
IBM,Nokia,Nokia Asha 205 is developed by,Computers_and_Electronics,Nokia Asha 205,0.41056472,IBM
Sony,Microsoft,Microsoft Office 2007 is a product of,Computers_and_Electronics,Microsoft Office 2007,0.40854996,Sony
Nissan,BMW,BMW N53 is a product of,Autos_and_Vehicles,BMW N53,0.61620617,Nissan
Bedford,Amsterdam,Netherlands Trading Society is based in,Business_and_Industrial,Netherlands Trading Society,0.36155066,Bedford
IBM,Google,Google Drive was created by,Internet_and_Telecom,Google Drive,0.30941227,IBM
Taiwan,Japan,"Masashi Kishimoto, who has a citizenship from",Arts_and_Entertainment,Masashi Kishimoto,0.6807914,Taiwan
Renault,Honda,Honda 70 is produced by,Autos_and_Vehicles,Honda 70,0.59395605,Renault
Square,IBM,IBM OfficeVision is developed by,Computers_and_Electronics,IBM OfficeVision,0.2596594,Square
Fiat,Renault,Renault Twingo is developed by,Autos_and_Vehicles,Renault Twingo,0.58324873,Fiat
Fiat,Volvo,Volvo XC60 is a product of,Autos_and_Vehicles,Volvo XC60,0.42568004,Fiat
Brazil,India,Vizianagaram district is located in the country of,Business_and_Industrial,Vizianagaram district,0.63181365,Brazil
Haiti,Japan,"Senkichi Taniguchi, who holds a citizenship from",Law_and_Government,Senkichi Taniguchi,0.42398825,Haiti
Microsoft,Square,Kingdom Hearts is created by,Games,Kingdom Hearts,0.28727928,Microsoft
Europe,Africa,Angola belongs to the continent of,People_and_Society,Angola,0.6112286,Europe
Apple,IBM,"IBM RPG III, a product manufactured by",Computers_and_Electronics,IBM RPG III,0.41521242,Apple
Sony,Honda,"Honda SFX, developed by",Autos_and_Vehicles,Honda SFX,0.36516526,Sony
Porsche,BMW,"BMW M67, created by",Autos_and_Vehicles,BMW M67,0.6581066,Porsche
Dodge,Apple,"iPhone 7 Plus, developed by",Computers_and_Electronics,iPhone 7 Plus,0.23600629,Dodge
Microsoft,Google,"Nexus 7, a product developed by",Computers_and_Electronics,Nexus 7,0.38166553,Microsoft
History,Netflix,AKA The Octopus premieres on,Arts_and_Entertainment,AKA The Octopus,0.30667436,History
Fiat,BMW,BMW M52 is developed by,Autos_and_Vehicles,BMW M52,0.546676,Fiat
Honda,Renault,Renault FT is developed by,Autos_and_Vehicles,Renault FT,0.59395605,Honda
Japan,India,"Rajneesh, a citizen of",People_and_Society,Rajneesh,0.6716058,Japan
Apple,Honda,Honda CB1100R is developed by,Autos_and_Vehicles,Honda CB1100R,0.27968162,Apple
German,Spanish,Comentarios Reales de los Incas was written in,News,Comentarios Reales de los Incas,0.6022655,Spanish
BMW,Ferrari,Ferrari 641 is developed by,Autos_and_Vehicles,Ferrari 641,0.6530139,BMW
Nissan,BMW,BMW N55 is a product of,Autos_and_Vehicles,BMW N55,0.61620617,Nissan
Intel,IBM,"IBM Rational Rose XDE, a product developed by",Computers_and_Electronics,IBM Rational Rose XDE,0.53542256,Intel
Microsoft,Nissan,Nissan Model 70 is produced by,Autos_and_Vehicles,Nissan Model 70,0.3391007,Microsoft
Dodge,Sony,"Sony NEX-5, developed by",Computers_and_Electronics,Sony NEX-5,0.20639558,Dodge
Toyota,BMW,BMW M6 is a product of,Autos_and_Vehicles,BMW M6,0.61836,Toyota
Austria,Canada,Toronto is located in the country of,Business_and_Industrial,Toronto,0.48902053,Austria
Prague,Cardiff,"Wales's capital city,",Law_and_Government,Wales,0.4459046,Prague
BMW,Nokia,Nokia 1200 is developed by,Computers_and_Electronics,Nokia 1200,0.28979316,Nokia
Microsoft,Adobe,"Adobe Flash, a product developed by",Computers_and_Electronics,Adobe Flash,0.5452353,Microsoft
Apple,Nokia,"Nokia Asha 205, produced by",Computers_and_Electronics,Nokia Asha 205,0.48361683,Apple
BMW,Fiat,"Fiat 10 HP, produced by",Autos_and_Vehicles,Fiat 10 HP,0.546676,BMW
Europe,Africa,Zambia belongs to the continent of,People_and_Society,Zambia,0.6112286,Europe
Paris,Mumbai,Industrial Development Bank of India is headquartered in,Finance,Industrial Development Bank of India,0.3517352,Mumbai
Boeing,Ferrari,Ferrari 250 GTO is produced by,Autos_and_Vehicles,Ferrari 250 GTO,0.36896133,Boeing
Renault,Yamaha,Yamaha XV250 is a product of,Autos_and_Vehicles,Yamaha XV250,0.34078133,Renault
violin,piano,"Grete von Zieritz, playing the",Arts_and_Entertainment,Grete von Zieritz,0.5282358,violin
IBM,Nokia,Nokia 6760 Slide is a product of,Computers_and_Electronics,Nokia 6760 Slide,0.41056472,IBM
Suzuki,Honda,"Honda NSR75, produced by",Autos_and_Vehicles,Honda NSR75,0.7033323,Suzuki
Valencia,Oslo,National Institute of Occupational Health in Norway is based in,Health,National Institute of Occupational Health in Norway,0.3308044,Valencia
Toyota,Google,Chromecast is developed by,Computers_and_Electronics,Chromecast,0.28969732,Toyota
Toronto,Tokyo,Mitsui & Co. is based in,Business_and_Industrial,Mitsui & Co.,0.50227356,Toronto
India,Japan,"Masashi Kishimoto, a citizen of",Arts_and_Entertainment,Masashi Kishimoto,0.6716058,India
Germany,Sony,Sony Pictures Classics is owned by,Computers_and_Electronics,Sony Pictures Classics,0.2594654,the
Toyota,Nissan,Nissan Almera Tino is produced by,Autos_and_Vehicles,Nissan Almera Tino,0.7046942,Toyota
Frankfurt,Boston,Harvard Club of Boston is headquartered in,Jobs_and_Education,Harvard Club of Boston,0.3693079,Frankfurt
Adobe,Microsoft,OneDrive is owned by,Computers_and_Electronics,OneDrive,0.5452353,Adobe
Italy,Ireland,National Gallery of Ireland ID is located in the country of,Arts_and_Entertainment,National Gallery of Ireland ID,0.58158594,Italy
Mercury,Ferrari,Ferrari F399 is produced by,Autos_and_Vehicles,Ferrari F399,0.43665487,Ferrari
Honda,Intel,"Intel 80486, produced by",Computers_and_Electronics,Intel 80486,0.21658632,Honda
Nintendo,Google,Google Container Registry is owned by,Computers_and_Electronics,Google Container Registry,0.31518632,Nintendo
Fiat,Nintendo,"Nintendo Entertainment System, produced by",Computers_and_Electronics,Nintendo Entertainment System,0.30752987,Fiat
Toyota,Fiat,Fiat 500 Moretti Coupé is produced by,Autos_and_Vehicles,Fiat 500 Moretti Coupé,0.51698244,Toyota
Germany,Canada,Toronto is located in the country of,Business_and_Industrial,Toronto,0.65139025,Germany
Italy,Denmark,Aalborg is located in the country of,Business_and_Industrial,Aalborg,0.5361547,Italy
Airbus,Suzuki,Suzuki RE5 is developed by,Autos_and_Vehicles,Suzuki RE5,0.35081422,Airbus
Russian,German,Zeitschrift fuer Physikalische Chemie was written in,Science,Zeitschrift fuer Physikalische Chemie,0.61497414,Russian
Dodge,Nissan,Nissan Almera Tino is developed by,Autos_and_Vehicles,Nissan Almera Tino,0.4793415,Dodge
Poland,Japan,Akira Kurosawa holds a citizenship from,Arts_and_Entertainment,Akira Kurosawa,0.5301805,Poland
BBC,Google,Google Vault is owned by,Internet_and_Telecom,Google Vault,0.43889242,BBC
Douglas,Ferrari,"Ferrari 288 GTO, created by",Autos_and_Vehicles,Ferrari 288 GTO,0.15390113,Douglas
Nokia,Renault,"Renault Caravelle, produced by",Autos_and_Vehicles,Renault Caravelle,0.34275633,Nokia
McLaren,Nissan,"Nissan Livina, produced by",Autos_and_Vehicles,Nissan Livina,0.6048727,McLaren
Dodge,Nintendo,"Nintendo 3DS, produced by",Computers_and_Electronics,Nintendo 3DS,0.24462608,Dodge
BMW,Porsche,"Porsche 804, developed by",Autos_and_Vehicles,Porsche 804,0.6581066,BMW
Sony,Suzuki,Suzuki VX 800 is produced by,Autos_and_Vehicles,Suzuki VX 800,0.32240415,Sony
IBM,Renault,Renault 25 is developed by,Autos_and_Vehicles,Renault 25,0.3472596,IBM
Beijing,Cincinnati,Roman Catholic Archdiocese of Cincinnati is headquartered in,People_and_Society,Roman Catholic Archdiocese of Cincinnati,0.4440261,Beijing
Toyota,Nissan,Nissan Be-1 is created by,Autos_and_Vehicles,Nissan Be-1,0.7046942,Toyota
Nissan,Porsche,"Porsche 550, created by",Autos_and_Vehicles,Porsche 550,0.6598749,Nissan
Toyota,Fiat,Fiat 510 is developed by,Autos_and_Vehicles,Fiat 510,0.51698244,Toyota
Japan,India,Prakasam district is located in the country of,Business_and_Industrial,Prakasam district,0.6716058,Japan
Chile,Malta,Parliament of Malta is located in the country of,Law_and_Government,Malta,0.46590298,Chile
Boeing,IBM,"IBM OfficeVision, a product manufactured by",Computers_and_Electronics,IBM OfficeVision,0.48337567,Boeing
CBS,HBO,HBO Films is owned by,Arts_and_Entertainment,HBO Films,0.5474484,CBS
BBC,Microsoft,Skype is owned by,Internet_and_Telecom,Skype,0.35989213,BBC
London,Boston,Harvard Pilgrim Health Care is based in,Health,Harvard Pilgrim Health Care,0.48716453,London
BMW,Toyota,"Toyota AR engine, produced by",Autos_and_Vehicles,Toyota AR engine,0.61836,BMW
Germany,Japan,"Mitsubishi A6M Zero, which is located in",Autos_and_Vehicles,Mitsubishi A6M Zero,0.67883664,Germany
Cardiff,Prague,"Czechoslovak Socialist Republic's capital,",Law_and_Government,Czechoslovak Socialist Republic,0.4459046,Cardiff
Sony,Nokia,"Nokia X2-01, developed by",Computers_and_Electronics,Nokia X2-01,0.40018702,Sony
Fiat,Nokia,Nokia N78 is created by,Computers_and_Electronics,Nokia N78,0.28036323,Fiat
Amsterdam,Toronto,GO Transit is based in,Travel_and_Transportation,GO Transit,0.43214083,Amsterdam
Suzuki,BMW,BMW M3 is created by,Autos_and_Vehicles,BMW M3,0.5146568,Suzuki
IBM,Microsoft,ASP.NET MVC Framework is a product of,Computers_and_Electronics,ASP.NET MVC Framework,0.5542214,IBM
Volvo,Nokia,Nokia N78 is developed by,Computers_and_Electronics,Nokia N78,0.29236925,Volvo
Sega,Fiat,Fiat Viaggio is produced by,Autos_and_Vehicles,Fiat Viaggio,0.29288125,Sega
Apple,Google,Google Drive was created by,Internet_and_Telecom,Google Drive,0.32428774,Apple
IBM,Nokia,Nokia 7270 is developed by,Computers_and_Electronics,Nokia 7270,0.41056472,Nokia
London,Kyoto,"Kyoto Institute of Technology, whose headquarters are in",Jobs_and_Education,Kyoto Institute of Technology,0.29392916,London
Renault,Nokia,Nokia N80 is created by,Computers_and_Electronics,Nokia N80,0.34275633,Renault
Boeing,Apple,"iPad, created by",Computers_and_Electronics,iPad,0.37306684,Boeing
Suzuki,Honda,Honda SFX is developed by,Autos_and_Vehicles,Honda SFX,0.7033323,Suzuki
BMW,Nissan,"Nissan NX, produced by",Autos_and_Vehicles,Nissan NX,0.61620617,BMW
Intel,Dodge,Dodge 3700 is produced by,Autos_and_Vehicles,Dodge 3700,0.21433066,Intel
Greece,Yahoo,Yahoo! Maps is owned by,Internet_and_Telecom,Yahoo! Maps,0.3493867,Greece
Germany,India,"Lata Mangeshkar, a citizen of",Arts_and_Entertainment,Lata Mangeshkar,0.65583,Germany
Ankara,Munich,"Bavaria-Munich's capital city,",People_and_Society,Bavaria-Munich,0.4302166,Ankara
Americas,Antarctica,Antarctic Treaty System belongs to the continent of,Law_and_Government,Antarctic Treaty System,0.4380417,Americas
Volvo,Chrysler,"Chrysler ecoVoyager, produced by",Autos_and_Vehicles,Chrysler ecoVoyager,0.5701554,Volvo
Renault,Fiat,Fiat 1900 is produced by,Autos_and_Vehicles,Fiat 1900,0.58324873,Renault
Dodge,Renault,"Renault Mégane, produced by",Autos_and_Vehicles,Renault Mégane,0.42717332,Dodge
Porsche,Chevrolet,"Chevrolet Corvette C7 Grand Sport, produced by",Autos_and_Vehicles,Chevrolet Corvette C7 Grand Sport,0.69786215,Porsche
Nissan,IBM,IBM 7030 Stretch is produced by,Computers_and_Electronics,IBM 7030 Stretch,0.32679117,Nissan
Iran,Renault,"Renault 7, developed by",Autos_and_Vehicles,Renault 7,0.3729415,Iran
Nissan,Nintendo,Nintendo Entertainment System is produced by,Computers_and_Electronics,Nintendo Entertainment System,0.30556482,Nintendo
Spain,Germany,Saxony-Anhalt is located in the country of,Business_and_Industrial,Saxony-Anhalt,0.6669593,Spain
Cadillac,BMW,"BMW N52, created by",Autos_and_Vehicles,BMW N52,0.5484816,Cadillac
Apple,Nokia,Nokia 7270 is created by,Computers_and_Electronics,Nokia 7270,0.48361683,Apple
Chevrolet,Cadillac,"Cadillac XLR, developed by",Autos_and_Vehicles,Cadillac XLR,0.6604998,Chevrolet
Microsoft,IBM,"IBM RPG III, developed by",Computers_and_Electronics,IBM RPG III,0.5542214,Microsoft
Chevrolet,BMW,"BMW M60, developed by",Autos_and_Vehicles,BMW M60,0.6435225,Chevrolet
Israel,Canada,Canadiana Authorities ID (former scheme) is located in the country of,Law_and_Government,Canadiana Authorities ID (former scheme),0.60673016,Israel
Finnish,Swedish,The official language of Västerås Municipality is,Law_and_Government,Västerås Municipality,0.7682463,Finnish
Toyota,BMW,BMW N53 is developed by,Autos_and_Vehicles,BMW N53,0.61836,Toyota
Google,IBM,"IBM SAN File System, a product developed by",Computers_and_Electronics,IBM SAN File System,0.30941227,Google
Italy,Japan,"Kotono Mitsuishi, who holds a citizenship from",Arts_and_Entertainment,Kotono Mitsuishi,0.651751,Italy
Helsinki,Dresden,"Kreishauptmannschaft Dresden-Bautzen's capital city,",Sports,Kreishauptmannschaft Dresden-Bautzen,0.31411165,Helsinki
hockey,baseball,Barry Bonds is a professional,Sports,Barry Bonds,0.66428065,hockey
Sega,Toyota,Toyota Harrier is produced by,Autos_and_Vehicles,Toyota Harrier,0.35681558,Sega
BMW,Nissan,"Nissan NPT-90, created by",Autos_and_Vehicles,Nissan NPT-90,0.61620617,BMW
Apple,Samsung,Samsung Galaxy Note 8 was developed by,Internet_and_Telecom,Samsung Galaxy Note 8,0.57525575,Apple
Nissan,Microsoft,"Xbox 360, produced by",Computers_and_Electronics,Xbox 360,0.3391007,Nissan
Connecticut,Chicago,John Roy Lynch died in the city of,Sensitive_Subjects,John Roy Lynch,0.420366,Connecticut
Microsoft,IBM,IBM SAN File System was developed by,Computers_and_Electronics,IBM SAN File System,0.5542214,Microsoft
Hindi,Chinese,Jin Ping Mei is written in,Books_and_Literature,Jin Ping Mei,0.48307067,Hindi
Bentley,Boeing,"Boeing B-29 Superfortress, produced by",Business_and_Industrial,Boeing B-29 Superfortress,0.35234314,Bentley
Jeep,Nissan,Nissan 1400 is produced by,Autos_and_Vehicles,Nissan 1400,0.5671088,Jeep
Ferrari,Nintendo,"Wii U, developed by",Computers_and_Electronics,Wii U,0.34502107,Ferrari
Dodge,Toyota,Toyota AR engine is created by,Autos_and_Vehicles,Toyota AR engine,0.51680493,Dodge
Honda,Apple,iPhone 12 Pro is produced by,Computers_and_Electronics,iPhone 12 Pro,0.27968162,Honda
Sega,Microsoft,"Windows 98, a product developed by",Computers_and_Electronics,Windows 98,0.46042138,Sega
India,Australia,Sydney Airport is located in the country of,Travel_and_Transportation,Sydney Airport,0.6991725,India
Indonesian,English,The official language of Papua New Guinea is,Jobs_and_Education,Papua New Guinea,0.436631,Indonesian
Swedish,French,The native language of Montesquieu is,Jobs_and_Education,Montesquieu,0.63001823,Swedish
Toyota,Honda,Honda CB650SC is produced by,Autos_and_Vehicles,Honda CB650SC,0.6556448,Toyota
Stockholm,London,Royal Astronomical Society is based in,Science,Royal Astronomical Society,0.50830734,Stockholm
IBM,Microsoft,"Windows 3.0, a product developed by",Computers_and_Electronics,Windows 3.0,0.5542214,IBM
Manila,Rome,Antonio Gramsci died in the city of,News,Antonio Gramsci,0.40781167,Manila
Japan,Canada,Heritage Railway Station of Canada ID is located in the country of,Travel_and_Transportation,Heritage Railway Station of Canada ID,0.59572685,Japan
Swedish,French,The official language of Châtillon is,Jobs_and_Education,Châtillon,0.63001823,Swedish
Apple,Intel,"Intel Data Plane Development Kit, a product manufactured by",Computers_and_Electronics,Intel Data Plane Development Kit,0.51355374,Apple
Suzuki,Ferrari,Ferrari California is developed by,Autos_and_Vehicles,Ferrari California,0.4896044,Suzuki
Belgium,India,Anantapuram district is located in the country of,Business_and_Industrial,Anantapuram district,0.54417473,Belgium
Lisbon,Oslo,"Union between Sweden and Norway's capital,",Law_and_Government,Union between Sweden and Norway,0.6145456,Lisbon
Indonesia,Japan,Sony is located in the country of,Computers_and_Electronics,Sony,0.63761365,Indonesia
Damascus,Jerusalem,"Jerusalem District's capital city,",Business_and_Industrial,Jerusalem District,0.63117534,Damascus
Toyota,Intel,"Intel 80186, produced by",Computers_and_Electronics,Intel 80186,0.27644005,Toyota
Cadillac,BMW,BMW M3 DTM is developed by,Autos_and_Vehicles,BMW M3 DTM,0.5484816,Cadillac
Intel,Google,"Google Earth, developed by",Online_Communities,Google Earth,0.30512172,Intel
Boeing,Apple,Apple TV+ is owned by,Computers_and_Electronics,Apple TV+,0.37306684,Apple
Spanish,French,Le Ventre de Paris was written in,Arts_and_Entertainment,Le Ventre de Paris,0.6289787,Spanish
Dodge,Ferrari,Ferrari California is developed by,Autos_and_Vehicles,Ferrari California,0.35181165,Dodge
Sega,Apple,"Apple iAd Producer, a product manufactured by",Computers_and_Electronics,Apple iAd Producer,0.48903936,Sega
Toronto,Winnipeg,"Ukrainian Catholic Archeparchy of Winnipeg, whose headquarters are in",People_and_Society,Ukrainian Catholic Archeparchy of Winnipeg,0.69956636,Toronto
Nintendo,Toyota,Toyota Camry XV20 is a product of,Autos_and_Vehicles,Toyota Camry XV20,0.32345173,Nintendo
Amazon,Microsoft,"Microsoft Office 2010, a product manufactured by",Computers_and_Electronics,Microsoft Office 2010,0.44074076,Amazon
Sweden,Japan,"Tokyo Story, that originated in",People_and_Society,Tokyo Story,0.6019585,Sweden
hockey,basketball,Shaquille O'Neal is a professional,Sports,Shaquille O'Neal,0.67706656,hockey
Chrysler,Toyota,Toyota AR engine is produced by,Autos_and_Vehicles,Toyota AR engine,0.63641286,Chrysler
Houston,Glasgow,Royal Philosophical Society of Glasgow is based in,Science,Royal Philosophical Society of Glasgow,0.5005209,Houston
Australia,Japan,"Masashi Kishimoto, who is a citizen of",Arts_and_Entertainment,Masashi Kishimoto,0.6581687,Australia
Ukrainian,French,Le Ventre de Paris is written in,Arts_and_Entertainment,Le Ventre de Paris,0.49252933,Ukrainian
Adobe,Microsoft,"Windows 2000, developed by",Computers_and_Electronics,Windows 2000,0.5452353,Adobe
Mercury,Renault,Renault 8 is developed by,Autos_and_Vehicles,Renault 8,0.30995816,Mercury
Ferrari,BMW,"BMW N53, created by",Autos_and_Vehicles,BMW N53,0.6530139,Ferrari
Ottawa,Vienna,Charles I of Austria worked in the city of,Law_and_Government,Charles I of Austria,0.388133,Ottawa
Mecca,Beijing,People's Bank of China is headquartered in,Finance,People's Bank of China,0.43271062,Mecca
Triumph,BMW,BMW N57 is a product of,Autos_and_Vehicles,BMW N57,0.3239683,Triumph
Suzuki,Apple,iPhone X is created by,Computers_and_Electronics,iPhone X,0.29394358,Suzuki
Nokia,Toyota,"Toyota AR engine, produced by",Autos_and_Vehicles,Toyota AR engine,0.30657643,Nokia
Mumbai,Singapore,Singapore Heart Foundation is located in,Health,Singapore Heart Foundation,0.4930107,Mumbai
IBM,Google,"Google Drive, a product manufactured by",Internet_and_Telecom,Google Drive,0.30941227,IBM
TNT,HBO,The Wire premieres on,Arts_and_Entertainment,The Wire,0.48032865,TNT
Egypt,Japan,"Mitsubishi A6M Zero, which is located in",Autos_and_Vehicles,Mitsubishi A6M Zero,0.4491539,Egypt
Athens,Kuwait,oil reserves in Kuwait is located in,Business_and_Industrial,Kuwait,0.31881043,Athens
Dresden,Rome,Antonio Gramsci died in the city of,News,Antonio Gramsci,0.38479042,Dresden
BBC,Sony,Sony Mobile Communications is owned by,Internet_and_Telecom,Sony Mobile Communications,0.30301893,BBC
Fiat,Jeep,Jeep Commander is produced by,Autos_and_Vehicles,Jeep Commander,0.40852696,Fiat
Sega,Microsoft,Xbox 360 is created by,Computers_and_Electronics,Xbox 360,0.46042138,Sega
Fiat,Toyota,Toyota Camry XV40 is a product of,Autos_and_Vehicles,Toyota Camry XV40,0.51698244,Fiat
Madrid,London,James Brokenshire worked in the city of,Business_and_Industrial,James Brokenshire,0.4529689,Madrid
Chevrolet,Toyota,"Toyota AZ engine, developed by",Autos_and_Vehicles,Toyota AZ engine,0.68879783,Chevrolet
Australia,France,Les Rougon-Macquart was created in the country of,Business_and_Industrial,Les Rougon-Macquart,0.6288465,Australia
BMW,Chevrolet,"Chevrolet Tru 140S, produced by",Autos_and_Vehicles,Chevrolet Tru 140S,0.6435225,BMW
Square,Nintendo,"Donkey Kong, developed by",Games,Donkey Kong,0.2797811,Square
Poland,Italy,"Giuseppe Ermini, who holds a citizenship from",Law_and_Government,Giuseppe Ermini,0.60854053,Poland
Honda,Nissan,Nissan Be-1 is developed by,Autos_and_Vehicles,Nissan Be-1,0.6627707,Honda
Sega,Google,Google Earth was developed by,Online_Communities,Google Earth,0.2561206,Sega
Fiat,Volvo,Volvo 200 series is produced by,Autos_and_Vehicles,Volvo 200 series,0.42568004,Fiat
Dodge,Triumph,"Triumph TR4, produced by",Autos_and_Vehicles,Triumph TR4,0.28181195,Dodge
IBM,Microsoft,"Windows 2.0, a product manufactured by",Computers_and_Electronics,Windows 2.0,0.5542214,IBM
Malaysia,India,Nilgiris district is located in the country of,Travel_and_Transportation,Nilgiris district,0.5862051,Malaysia
Nintendo,Nissan,"Nissan Almera Tino, produced by",Autos_and_Vehicles,Nissan Almera Tino,0.30556482,Nintendo
Google,IBM,IBM Rational Rose XDE is developed by,Computers_and_Electronics,IBM Rational Rose XDE,0.30941227,Google
Canada,Germany,Saxony-Anhalt is located in the country of,Business_and_Industrial,Saxony-Anhalt,0.65139025,Canada
Fiat,Honda,"Honda NSR75, produced by",Autos_and_Vehicles,Honda NSR75,0.5440557,Fiat
Greece,Canada,Heritage Railway Station of Canada ID is located in the country of,Travel_and_Transportation,Heritage Railway Station of Canada ID,0.48769087,Greece
Samsung,Toyota,Toyota AR engine is developed by,Autos_and_Vehicles,Toyota AR engine,0.3825559,Samsung
Houston,Glasgow,Royal Philosophical Society of Glasgow is headquartered in,Science,Royal Philosophical Society of Glasgow,0.5005209,Houston
Paris,Madrid,"Community of Madrid's capital,",Law_and_Government,Community of Madrid,0.41982508,Paris
Adobe,Nintendo,Game Boy Advance was created by,Games,Game Boy Advance,0.39864203,Adobe
Nokia,Renault,"Renault R312, developed by",Autos_and_Vehicles,Renault R312,0.34275633,Nokia
Nissan,Toyota,Toyota Camry XV40 is a product of,Autos_and_Vehicles,Toyota Camry XV40,0.7046942,Nissan
Finnish,German,The official language of Schüpfheim is,Jobs_and_Education,Schüpfheim,0.5973743,Finnish
Suzuki,Fiat,"Fiat 24-32 HP, created by",Autos_and_Vehicles,Fiat 24-32 HP,0.44818237,Suzuki
Sony,Yahoo,Yahoo! Mail is owned by,Internet_and_Telecom,Yahoo! Mail,0.34397063,Sony
Sega,Samsung,Samsung Galaxy S Duos 3 is produced by,Internet_and_Telecom,Samsung Galaxy S Duos 3,0.5227686,Sega
Valencia,Lima,"Peru's capital,",Travel_and_Transportation,Peru,0.3549412,Valencia
Finnish,French,The official language of Fribourg is,Jobs_and_Education,Fribourg,0.52567434,Finnish
BMW,Volvo,Volvo V50 is a product of,Autos_and_Vehicles,Volvo V50,0.5915911,BMW
Leeds,Seattle,University of Washington School of Law is located in,Jobs_and_Education,University of Washington School of Law,0.3984066,Leeds
Romanian,French,The official language of Saint Pierre and Miquelon is,Jobs_and_Education,Saint Pierre and Miquelon,0.55429167,Romanian
Moscow,Budapest,Budapest Stock Exchange is headquartered in,Finance,Budapest Stock Exchange,0.4707486,Moscow
Finnish,Hindi,The official language of Ladakh is,Jobs_and_Education,Ladakh,0.3677113,Finnish
Porsche,BMW,"BMW GINA, developed by",Autos_and_Vehicles,BMW GINA,0.6581066,Porsche
Douglas,Nissan,"Nissan Rogue, produced by",Autos_and_Vehicles,Nissan Rogue,0.21977727,Douglas
Netherlands,Sweden,Fagersta Municipality is located in the country of,Jobs_and_Education,Fagersta Municipality,0.69040185,Netherlands
Denmark,Turkey,"Serdar Kurtuluş, who has a citizenship from",Law_and_Government,Serdar Kurtuluş,0.5298468,Denmark
Latin,English,The official language of Trinidad and Tobago is,Jobs_and_Education,Trinidad and Tobago,0.5130691,Latin
Fiat,Sony,PlayStation Eye is produced by,Computers_and_Electronics,PlayStation Eye,0.33050925,Fiat
London,Mumbai,"Reliance Entertainment, whose headquarters are in",News,Reliance Entertainment,0.47659287,London
Suzuki,Porsche,Porsche 959 is developed by,Autos_and_Vehicles,Porsche 959,0.4800021,Suzuki
Canada,India,"Guru Dutt, a citizen of",Arts_and_Entertainment,Guru Dutt,0.6278428,Canada
Renault,Honda,"Honda NSX (second generation), produced by",Autos_and_Vehicles,Honda NSX (second generation),0.59395605,Renault
Pennsylvania,California,"Roman Catholic Diocese of Santa Rosa in California, in",People_and_Society,Roman Catholic Diocese of Santa Rosa,0.5042993,Pennsylvania
Fiat,Sony,Sony Alpha 550 is created by,Computers_and_Electronics,Sony Alpha 550,0.33050925,Fiat
Dodge,BMW,"BMW M30, produced by",Autos_and_Vehicles,BMW M30,0.4334879,Dodge
Toyota,Honda,Honda CB650SC is a product of,Autos_and_Vehicles,Honda CB650SC,0.6556448,Toyota
Chevrolet,Nokia,"Nokia X2-02, created by",Computers_and_Electronics,Nokia X2-02,0.26483926,Chevrolet
Microsoft,Google,"Google Earth, a product manufactured by",Online_Communities,Google Earth,0.38166553,Microsoft
Jerusalem,Warsaw,"Warsaw Voivodeship's capital city,",People_and_Society,Warsaw Voivodeship,0.33648157,Jerusalem
Apple,IBM,IBM Rational AppScan was a product of,Computers_and_Electronics,IBM Rational AppScan,0.41521242,Apple
BMW,Volvo,Volvo 480 is a product of,Autos_and_Vehicles,Volvo 480,0.5915911,BMW
Intel,Google,"Google Earth, a product of",Online_Communities,Google Earth,0.30512172,Intel
Sega,Google,Google Earth is developed by,Online_Communities,Google Earth,0.2561206,Sega
Moscow,Boston,University of Massachusetts Boston is located in,Jobs_and_Education,University of Massachusetts Boston,0.51334757,Moscow
Fiat,Sony,Sony Alpha 550 is produced by,Computers_and_Electronics,Sony Alpha 550,0.33050925,Fiat
IBM,Apple,"Apple Mouse, created by",Computers_and_Electronics,Apple Mouse,0.41521242,IBM
BMW,Nissan,"Nissan Cima, developed by",Autos_and_Vehicles,Nissan Cima,0.61620617,BMW
India,Canada,National Historic Sites of Canada ID is located in the country of,Travel_and_Transportation,National Historic Sites of Canada ID,0.6278428,India
Russian,English,The official language of Canada is,Jobs_and_Education,Canada,0.5430247,Russian
Spain,Turkey,Balıkesir Province is located in the country of,Jobs_and_Education,Balıkesir Province,0.47180176,Spain
